team_id,club,date,item,coverage,source_url
342,Albuquerque Isotopes,2025-04-01,Orbit Beanies,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-04-04,Magnet Schedules,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-04-05,Mariachis Ponchos,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-04-19,Flags,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-05-04,Adult Mariachis Jerseys,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-05-30,Cowbells,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-06-01,Hats,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-06-13,Hats,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-07-05,Paint-Your-Own Lowrider Bobbleheads,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-08-01,Jumbo Softee Baseballs,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-08-03,Lunch Bags,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-08-07,Magazines (Albuquerque The Magazine),complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-08-22,Orbit Vinyl Figurines,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
342,Albuquerque Isotopes,2025-09-21,Adult Mariachis Jerseys,complete,https://www.milb.com/albuquerque/news/isotopes-announce-2025-promotional-schedule-individual-game-tickets-go-on-sale-monday-february-24
422,Buffalo Bisons,2025-03-28,Magnetic Schedule,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
422,Buffalo Bisons,2025-06-15,Logo Baseball,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
422,Buffalo Bisons,2025-06-27,Celery Pins and Celery Sunglasses,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
422,Buffalo Bisons,2025-06-29,Pickleball Paddle,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
422,Buffalo Bisons,2025-07-18,Snow Globe,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
422,Buffalo Bisons,2025-07-31,Luces de Buffalo Youth Jersey,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
422,Buffalo Bisons,2025-08-16,Comic Book,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
422,Buffalo Bisons,2025-08-17,Team Photo,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
422,Buffalo Bisons,2025-08-19,Luggage Tag,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
422,Buffalo Bisons,2025-08-22,Malmo Oat Milkers Jersey off the Back,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
422,Buffalo Bisons,2025-08-23,Harry Potter Scarf,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
422,Buffalo Bisons,2025-08-24,Buster Plush,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
422,Buffalo Bisons,2025-09-19,Goo Goo Dolls Bobblehead,complete,https://www.milb.com/buffalo/news/bisons-unveil-packed-2025-promotional-schedule
4904,El Paso Chihuahuas,2025-04-11,Limited-Edition Reversible Jersey,partial-homestand,https://www.milb.com/el-paso/press-release/2025-peanuts
4904,El Paso Chihuahuas,2025-04-13,Chihuahuas Kids Shirsey,partial-homestand,https://www.milb.com/el-paso/press-release/2025-peanuts
4904,El Paso Chihuahuas,2025-04-25,Chico Squishy Plush,partial-homestand,https://www.milb.com/el-paso/press-release/2025-minecraft-movie-night
4904,El Paso Chihuahuas,2025-04-27,Chihuahuas Stress Ball,partial-homestand,https://www.milb.com/el-paso/press-release/2025-minecraft-movie-night
431,Gwinnett Stripers,2025-04-05,Homestand Tour T-Shirt,complete,https://www.milb.com/gwinnett/news/gwinnett-stripers-announce-2025-promotions-schedule
431,Gwinnett Stripers,2025-04-19,Chopper the Groundhog Bobblehead,complete,https://www.milb.com/gwinnett/news/gwinnett-stripers-announce-2025-promotions-schedule
431,Gwinnett Stripers,2025-05-31,Stripers Replica Jersey,complete,https://www.milb.com/gwinnett/news/gwinnett-stripers-announce-2025-promotions-schedule
431,Gwinnett Stripers,2025-07-05,Jimmy Carter Bobblehead,complete,https://www.milb.com/gwinnett/news/gwinnett-stripers-announce-2025-promotions-schedule
431,Gwinnett Stripers,2025-08-30,Gwinnett Peaches Rope Hat,complete,https://www.milb.com/gwinnett/news/gwinnett-stripers-announce-2025-promotions-schedule
